No.,Name,molecular weight,acentric factor,critical temperature,critical pressure,critical compressibility factor,critical molar volume,normal boiling point
50,2-Propanol,60.096,0.668,508.3,47.62,0.248,220.,355.4
51,Phenol,94.113,0.444,694.3,61.30,0.243,229.,455.0
52,Ethylene glycol,62.068,0.487,719.7,77.00,0.246,191.0,470.5
53,Acetic acid,60.053,0.467,592.0,57.86,0.211,179.7,391.1
54,n-Butyric acid,88.106,0.681,615.7,40.64,0.232,291.7,436.4
55,Benzoic acid,122.123,0.603,751.0,44.70,0.246,344.,522.4
56,Acetonitrile,41.053,0.338,545.5,48.30,0.184,173.,354.8
57,Methylamine,31.057,0.281,430.1,74.60,0.321,154.,266.8
58,Ethylamine,45.084,0.285,456.2,56.20,0.307,207.,289.7
59,Nitromethane,61.040,0.348,588.2,63.10,0.223,173.,374.4
60,Carbon tetrachloride,153.822,0.193,556.4,45.60,0.272,276.,349.8
61,Chloroform,119.377,0.222,536.4,54.72,0.293,239.,334.3
62,Dichloromethane,84.932,0.199,510.0,60.80,0.265,185.,312.9
63,Methyl chloride,50.488,0.153,416.3,66.80,0.276,143.,249.1
64,Ethyl chloride,64.514,0.190,460.4,52.70,0.275,200.,285.4
65,Chlorobenzene,112.558,0.250,632.4,45.20,0.265,308.,404.9
66,Tetrafluoroethane,102.030,0.327,374.2,40.60,0.258,198.0,247.1
67,Argon,39.948,0.000,150.9,48.98,0.291,74.6,87.3
68,Krypton,83.800,0.000,209.4,55.02,0.288,91.2,119.8
69,Xenon,131.30,0.000,289.7,58.40,0.286,118.0,165.0
70,Helium 4,4.003,-0.39,5.2,2.28,0.302,57.3,4.2
71,Hydrogen,2.016,-0.22,33.19,13.13,0.305,64.1,20.4
72,Oxygen,31.999,0.022,154.6,50.43,0.288,73.4,90.2
73,Nitrogen,28.014,0.038,126.2,34.00,0.289,89.2,77.3
74,Air†,28.851,0.035,132.2,37.45,0.289,84.8,0.00
75,Chlorine,70.905,0.069,417.2,77.10,0.265,124.,239.1
76,Carbon monoxide,28.010,0.048,132.9,34.99,0.299,93.4,81.7
77,Carbon dioxide,44.010,0.224,304.2,73.83,0.274,94.0,0.00
78,Carbon disulfide,76.143,0.111,552.0,79.00,0.275,160.,319.4
79,Hydrogen sulfide,34.082,0.094,373.5,89.63,0.284,98.5,212.8
80,Sulfur dioxide,64.065,0.245,430.8,78.84,0.269,122.,263.1
81,Sulfur trioxide,80.064,0.424,490.9,82.10,0.255,127.,317.9
82,Nitric oxide (NO),30.006,0.583,180.2,64.80,0.251,58.0,121.4
83,Nitrous oxide (N<sub>2</sub>O),44.013,0.141,309.6,72.45,0.274,97.4,184.7
84,Hydrogen chloride,36.461,0.132,324.7,83.10,0.249,81.,188.2
85,Hydrogen cyanide,27.026,0.410,456.7,53.90,0.197,139.,298.9
86,Water,18.015,0.345,647.1,220.55,0.229,55.90,373.2
87,Ammonia,17.031,0.253,405.7,112.80,0.242,72.50,239.7
88,Nitric acid,63.013,0.714,520.0,68.90,0.231,145.00,356.2
89,Sulfuric acid,98.080,0.00,924.0,64.00,0.147,177.00,610.0
